InductedToHallOfFame,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
FALSE,Fred Tyler,1,19,2,2,0,0,0,2,0,0.10526315789473685,0.10526315789473685,0,0,0,0,0,2,1914,381
FALSE,Al Kaiser,3,481,58,104,15,7,3,38,16,0.21621621621621623,0.29521829521829518,0,0,0,0,0,167,1914,384
FALSE,Bert Daniels,5,1903,295,486,76,40,5,130,159,0.25538623226484503,0.34524435102469786,0,0,0,0,0,778,1914,387
FALSE,Leo Kavanagh,1,11,0,3,0,0,0,1,0,0.27272727272727271,0.27272727272727271,0,0,0,0,0,3,1914,390
FALSE,Claud Derrick,5,326,35,79,6,4,1,33,13,0.2423312883435583,0.29447852760736193,0,0,0,0,0,107,1914,393
FALSE,Tom Wilson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,396
FALSE,Frank Fletcher,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,399
FALSE,Elmer Johnson,1,12,0,2,1,0,0,0,0,0.16666666666666669,0.25,0,0,0,0,0,4,1914,402
FALSE,Rivington Bisland,3,102,12,12,1,0,0,5,2,0.11764705882352942,0.12745098039215685,0,0,0,0,0,14,1914,405
FALSE,Hal Irelan,1,165,16,39,8,0,1,16,3,0.23636363636363639,0.30303030303030304,0,0,0,0,0,59,1914,408
FALSE,Walt Kuhn,3,268,25,55,9,0,0,15,8,0.20522388059701493,0.23880597014925373,0,0,0,0,0,73,1914,411
FALSE,Skipper Roberts,2,138,16,29,6,2,1,12,4,0.21014492753623187,0.30434782608695654,0,0,0,0,0,51,1914,414
FALSE,Tom Reilly,3,89,5,16,1,1,1,5,4,0.17977528089887643,0.24719101123595505,0,0,0,0,0,25,1914,417
FALSE,Tinsley Ginn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,420
FALSE,Walter Tappan,1,39,1,8,1,0,1,3,1,0.20512820512820512,0.30769230769230771,0,0,0,0,0,14,1914,423
FALSE,John Potts,1,102,14,27,4,0,1,9,7,0.26470588235294118,0.33333333333333337,0,0,0,0,0,39,1914,426
FALSE,George Dunlop,2,20,3,4,1,0,0,0,0,0.20000000000000001,0.25,0,0,0,0,0,6,1914,429
FALSE,Bill Holden,2,246,20,52,6,3,0,21,2,0.2113821138211382,0.26016260162601623,0,0,0,0,0,73,1914,432
FALSE,Cliff Daringer,1,160,12,42,2,1,0,16,9,0.26250000000000001,0.28749999999999998,0,0,0,0,0,49,1914,435
FALSE,Charlie Bold,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,438
FALSE,Earle Mack,3,16,0,2,0,1,0,1,1,0.125,0.25,0,0,0,0,0,5,1914,441
FALSE,Harry Williams,2,260,27,50,8,3,2,29,9,0.19230769230769232,0.26923076923076927,0,0,0,0,0,83,1914,444
FALSE,Delos Brown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,447
FALSE,Wally Smith,3,510,56,117,15,11,2,53,12,0.22941176470588234,0.31372549019607843,0,0,0,0,0,188,1914,450
FALSE,Squanto Wilson,2,16,2,3,0,0,0,0,0,0.1875,0.1875,0,0,0,0,0,3,1914,453
FALSE,Frank Madden,1,2,0,1,0,0,0,1,0,0.5,0.5,0,0,0,0,0,1,1914,456
FALSE,Jay Rogers,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,459
FALSE,Sandy Piez,1,8,9,3,0,1,0,3,4,0.375,0.625,0,0,0,0,0,6,1914,462
FALSE,Al Boucher,1,516,62,119,26,4,2,49,13,0.23062015503875968,0.30813953488372092,0,0,0,0,0,191,1914,465
FALSE,Dutch Schirick,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1914,468
FALSE,Scotty Alcock,1,156,12,27,4,2,0,7,4,0.17307692307692307,0.22435897435897437,0,0,0,0,0,41,1914,471
FALSE,Tex Erwin,6,635,70,150,23,3,11,70,10,0.23622047244094491,0.33385826771653543,0,0,0,0,0,249,1914,474
FALSE,Bruce Hartford,1,22,5,4,1,0,0,0,0,0.18181818181818182,0.22727272727272727,0,0,0,0,0,6,1914,477
FALSE,Cad Coles,1,194,17,49,7,3,1,25,6,0.25257731958762886,0.33505154639175261,0,0,0,0,0,76,1914,480
FALSE,Dick Gossett,2,126,12,20,2,0,0,10,1,0.15873015873015872,0.17460317460317459,0,0,0,0,0,24,1914,483
FALSE,Sam Brenegan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,486
FALSE,George McAvoy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,489
FALSE,Harry LaRoss,1,48,7,11,1,0,0,5,4,0.22916666666666669,0.25,0,0,0,0,0,13,1914,492
FALSE,Kid McLaughlin,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,495
FALSE,Dummy Murphy,1,26,1,4,1,0,0,3,0,0.15384615384615385,0.19230769230769232,0,0,0,0,0,6,1914,498
FALSE,Herbie Moran,7,2177,300,527,60,26,2,135,103,0.24207625172255395,0.29627928341754706,0,0,0,0,0,733,1915,501
